id,region,year,expression2,expression2_lag,autlost,reggovdm,reg_autscale,durable,durable2,democracy,polity,transdum,majdem_trans,regime_chge,polity_chge,vote,v_vote,nv_vote,rebelx,protestx,prot_lag,reb_lag,natreprx,lwreggov,ideol_eq,lwcengov,literacy,sinest,superior,agr,relpop,cohesion,lang_dum,lang,matlang,historic,opmob4x,milmob,milmob2,subgrvac,subgrvfe,subgrvin,subgrvif,genrebel,genprot,genvote,election,reg_elec,gen_elec,gpro5,isnation,loggdp,gdp_pcxx,polresx,klwd_rte,killedwoundedorarrested,killedwounded,cap,paro,language,ireglang,castile,regratekillwoundarr_lag,killedwoundedorarrestedratelag,localexpressionlag,subgrviflag,isnationlag,centralinvest1000lag
66,Balearic Islands,1982,1,1,1,0,0,0,4,5.5,10,1,0,0,1,22.18000030517578,0,22.18000030517578,0,0,0,0,0.29230770468711853,0,0,0,91.4000015258789,0.6848000288009644,0.01818929985165596,3.0999999046325684,1.7774999141693115,4,1,5,0,0,88.72000122070312,0,0,55,5.599999904632568,2.799999952316284,8.399999618530273,157,64,14.375150680541992,1,0,1,1,9.666666984558105,4.993658542633057,147.47500610351562,0,0,0,0,0.011839999817311764,11.75,None,80.18181818181813,0,0.75,0,2,8.199999809265137,9.666666984558105,11.480620384216309
67,Balearic Islands,1983,1,1,1,0,1,1,5,6.5,10,0,0,1,0,22.18000030517578,0,22.18000030517578,0,0,0,0,0.4935064911842346,0,0,1,91.95600128173828,0.6694200038909912,0.01945989951491356,3,1.7950000762939453,4,1,5,0,0,88.72000122070312,0,0,57.5,5.400000095367432,3.200000047683716,8.600000381469727,103,75,15.051469802856445,1,1,0,1,9.666666984558105,4.9923577308654785,147.28329467773438,0,0,0,0,0.011529999785125256,13.930000305175781,None,79.90909090909088,0,0.1538461595773697,0,1.6666666269302368,8.399999618530273,9.666666984558105,13.906193733215332
68,Balearic Islands,1984,1,1,1,0,1,2,6,6.5,10,0,0,0,0,20.47249984741211,0,20.47249984741211,0,0,0,0,0.2857142984867096,0,0,1,92.51200103759766,0.6540399789810181,0.020730499178171158,2.9000000953674316,1.8125,4,1,5,0,0,81.88999938964844,0,0,60,5.199999809265137,3.5999999046325684,8.800000190734863,74,112,15.945734977722168,0,0,0,2,9.666666984558105,4.991056442260742,147.09170532226562,0,0,0,0,0.01107999961823225,14.050000190734863,None,79.63636363636363,0,0.41558441519737244,0,1.6666666269302368,8.600000381469727,9.666666984558105,15.683231353759766
69,Balearic Islands,1985,1,1,1,0,1,3,7,6.5,10,0,0,0,0,18.764999389648438,0,18.764999389648438,0,0,0,0,2.28125,0,0,1,93.06800079345703,0.6386600136756897,0.022001100704073906,2.799999952316284,1.8300000429153442,4,1,5,0,0,75.05999755859375,0,0,62.5,5,4,9,86,64,16.782352447509766,0,0,0,2,9.666666984558105,4.989751815795898,146.89999389648438,0,0,0,0,0.010859999805688858,13.800000190734863,None,79.36363636363626,0,0.1607142835855484,0,1.6666666269302368,8.800000190734863,9.666666984558105,17.127803802490234
70,Balearic Islands,1986,1,1,1,0,1,4,8,6.5,10,0,0,0,0,17.0575008392334,0,17.0575008392334,0,0,0,0,1.5360825061798096,0,0,1,93.6240005493164,0.6232799887657166,0.023271700367331505,2.700000047683716,1.8283300399780273,4,1,5,64,0,68.2300033569336,0,0,65,4.800000190734863,4.400000095367432,9.199999809265137,108,97,17.42308807373047,1,0,1,2,9.666666984558105,4.972240924835205,144.35000610351562,0,0,0,0,0.011339999735355377,14.1899995803833,None,79.09090909090901,0,2.171875,0,1.6666666269302368,9,9.666666984558105,17.191194534301758
71,Balearic Islands,1987,1,1,1,1,2,5,9,6.5,10,0,0,0,0,15.350000381469727,0,15.350000381469727,0,0,0,0,1.616438388824463,0,0,1,94.18000030517578,0.6079000234603882,0.024542300030589104,2.5999999046325684,1.8266700506210327,4,1,5,0,0,61.400001525878906,0,0,67.5,4.599999904632568,4.800000190734863,9.399999618530273,107,73,17.990440368652344,1,1,0,2,9.666666984558105,4.954417705535889,141.8000030517578,0,0,0,0,0.01116000022739172,13.949999809265137,None,78.81818181818176,0,1.422680377960205,0,1.6666666269302368,9.199999809265137,9.666666984558105,21.665788650512695
72,Balearic Islands,1988,1,1,1,1,2,6,10,6.5,10,0,0,0,0,14.960000038146973,0,14.960000038146973,0,0,0,0,0.875,0,0,1,94.37999725341797,0.5910800099372864,0.025555899366736412,2.5,1.8249999284744263,4,1,5,0,0,59.84000015258789,0,0,70,4.400000095367432,5.199999809265137,9.600000381469727,124,96,18.59794044494629,0,0,0,2,9.666666984558105,4.936270713806152,139.25,0,0,0,0,0.011409999802708626,10.920000076293945,None,78.5454545454545,0,1.5068492889404297,0,2,9.399999618530273,9.666666984558105,22.943113327026367
73,Balearic Islands,1989,1,1,1,1,2,7,11,6.5,10,0,0,0,0,14.569999694824219,0,14.569999694824219,0,0,0,0,1.0412371158599854,0,0,1,94.58000183105469,0.5742599964141846,0.02656939998269081,2.4000000953674316,1.8233299255371094,4,1,5,0,0,58.279998779296875,0,0,72.5,4.199999809265137,5.599999904632568,9.800000190734863,116,97,19.168529510498047,1,0,1,2,9.666666984558105,4.917788505554199,136.6999969482422,0,0,0,0,0.012059999629855156,10.760000228881836,None,78.27272727272725,0,0.7708333134651184,0,2,9.600000381469727,9.666666984558105,21.04332160949707
74,Balearic Islands,1990,2,1,1,1,2,8,12,7,10,0,0,0.5,0,14.180000305175781,0,14.180000305175781,0,2,0,0,0.33734938502311707,0,0,1,94.77999877929688,0.5574399828910828,0.02758299931883812,2.299999952316284,1.8216699361801147,4,1,5,0,0,56.720001220703125,0,0,75,4,6,10,139,83,19.948381423950195,0,0,0,2,9.666666984558105,4.91375732421875,136.14999389648438,0,0,0,0,0.011210000142455101,10.539999961853027,78,78,0,0.9587628841400146,0,1.6666666269302368,9.800000190734863,9.666666984558105,28.498977661132812
75,Balearic Islands,1991,1,2,1,1,2,9,13,7,10,0,0,0,0,13.789999961853027,0,13.789999961853027,0,1,2,0,0.9200000166893005,0,0,1,94.9800033569336,0.5406200289726257,0.028596600517630577,2.200000047683716,1.8200000524520874,4,1,5,0,0,55.15999984741211,0,0,77.5,3.800014019012451,6.4000067710876465,10.199990272521973,160,75,20.475587844848633,1,1,0,2,9.666666984558105,4.909709453582764,135.60000610351562,0,0,0,0,0.01078999973833561,10.100000381469727,None,77.72727272727275,0,0.29629629850387573,0,1.6666666269302368,10,9.666666984558105,28.186777114868164
